algorithm,K,seed,risk,expected_return
ECMADE-MOO,10,1000,0.000678629633316457,0.0034088498081548476
ECMADE-MOO,10,1000,0.001134218049470399,0.00629055490772059
ECMADE-MOO,10,1000,0.0006932538474783861,0.0038472301948978675
ECMADE-MOO,10,1000,0.0006827731032370919,0.0034235778468182827
ECMADE-MOO,10,1000,0.0011083934831413109,0.0062331268939868996
ECMADE-MOO,10,1000,0.001028290954680162,0.006085296824021265
ECMADE-MOO,10,1000,0.0009956395072494243,0.00607101923746094
ECMADE-MOO,10,1000,0.0008116911418092333,0.005266265978118184
ECMADE-MOO,10,1000,0.001128579746197445,0.006246094111289049
ECMADE-MOO,10,1000,0.0008250634430002155,0.005343368660767645
ECMADE-MOO,10,1000,0.0010880958370278854,0.0062059052112419764
ECMADE-MOO,10,1000,0.0007118265246308902,0.004221330908786584
ECMADE-MOO,10,1000,0.001067261210959639,0.006198100378542585
ECMADE-MOO,10,1000,0.0007130236504835311,0.004331830971657772
ECMADE-MOO,10,1000,0.0009271637158273672,0.005812791777194888
ECMADE-MOO,10,1000,0.0010457191073420993,0.006100022503892341
ECMADE-MOO,10,1000,0.0010931815811006333,0.006226386738107798
ECMADE-MOO,10,1000,0.0009194327621218052,0.005791357718291203
ECMADE-MOO,10,1000,0.0010514613443846728,0.006114800584199802
ECMADE-MOO,10,1000,0.0007352951512225216,0.004668961051557279
ECMADE-MOO,10,1000,0.0007039787441803843,0.003979767318437849
ECMADE-MOO,10,1000,0.0007259468127608232,0.004558527670041594
ECMADE-MOO,10,1000,0.0007039794258413684,0.004045422320433997
ECMADE-MOO,10,1000,0.0009639696026521916,0.005959727659912981
ECMADE-MOO,10,1000,0.0007257186820083267,0.0044677291513306105
ECMADE-MOO,10,1000,0.0006957955159411286,0.003912193898688251
ECMADE-MOO,10,1000,0.001029294184545029,0.006098118107828708
ECMADE-MOO,10,1000,0.000766876620745755,0.004943498616721715
ECMADE-MOO,10,1000,0.0007405011652301482,0.004717419020095054
ECMADE-MOO,10,1000,0.0007108157354604872,0.0041736646809447525
ECMADE-MOO,10,1000,0.0007983691882499955,0.00517245944805163
ECMADE-MOO,10,1000,0.0007882294141771835,0.005109991095770991
ECMADE-MOO,10,1000,0.0009358519454821428,0.005847857051457668
ECMADE-MOO,10,1000,0.0006986592424192916,0.003940151495583609
ECMADE-MOO,10,1000,0.0008716613414885785,0.00557462391912134
ECMADE-MOO,10,1000,0.0010574878101408326,0.006167856870881767
ECMADE-MOO,10,1000,0.000803180480420961,0.00520275409478045
ECMADE-MOO,10,1000,0.0008077012028015774,0.0052312640653364405
ECMADE-MOO,10,1000,0.0008567663967379897,0.005509976939236966
ECMADE-MOO,10,1000,0.0009795201035849772,0.006006545205996557
ECMADE-MOO,10,1000,0.0007818914709231256,0.005063826194369647
ECMADE-MOO,10,1000,0.0009588898742050242,0.005928023760424082
ECMADE-MOO,10,1000,0.0008938345646000552,0.005674604214409712
ECMADE-MOO,10,1000,0.0008898018096652673,0.005650166742546093
ECMADE-MOO,10,1000,0.0009546384935471405,0.005908350903047701
ECMADE-MOO,10,1000,0.0008639950099604788,0.005544803123717886
ECMADE-MOO,10,1000,0.0008776260619585611,0.005617110075223295
ECMADE-MOO,10,1000,0.0007045100389736496,0.004111038708147085
ECMADE-MOO,10,1000,0.0007051950918460976,0.0041405474685230845
ECMADE-MOO,10,1000,0.0009868626065653878,0.006042655714320541
ECMADE-MOO,10,1000,0.0009135354522801165,0.0057520200845831955
ECMADE-MOO,10,1000,0.0007630605910965558,0.004899947396255265
ECMADE-MOO,10,1000,0.0009471963738785557,0.005896155466780276
ECMADE-MOO,10,1000,0.0007288488066868837,0.004582863648666452
ECMADE-MOO,10,1000,0.0007566486696492021,0.0048531309847767694
ECMADE-MOO,10,1000,0.0007467730664939673,0.004769818179838353
ECMADE-MOO,10,1000,0.0007713470967863967,0.004972339915989468
ECMADE-MOO,10,1000,0.0007950987743990364,0.005132531731464792
ECMADE-MOO,10,1000,0.0008991455994548182,0.005699099469014183
ECMADE-MOO,10,1000,0.0007432176462447015,0.00474335788397734
ECMADE-MOO,10,1000,0.0008400366325447204,0.005424570442855613
ECMADE-MOO,10,1000,0.0007168938638409348,0.004410856964883674
ECMADE-MOO,10,1000,0.0009102902791681468,0.005749884647197868
ECMADE-MOO,10,1000,0.0007611922756837844,0.00488059589573888
ECMADE-MOO,10,1000,0.0009055109313726114,0.00571372937313885
ECMADE-MOO,10,1000,0.0009700482945188863,0.005991793154460106
ECMADE-MOO,10,1000,0.0008550407266750504,0.005484804348577023
ECMADE-MOO,10,1000,0.001134071636782159,0.006289660245196273
ECMADE-MOO,10,1000,0.0007490115176850822,0.004801180777376709
ECMADE-MOO,10,1000,0.0008448127291117315,0.005449123195661245
ECMADE-MOO,10,1000,0.0007764206642560833,0.0050258298372522926
ECMADE-MOO,10,1000,0.0008836530918554887,0.005631216525329766
ECMADE-MOO,10,1000,0.0007331139112395019,0.004621982763339941
ECMADE-MOO,10,1000,0.0007225086117014847,0.004423067412502759
ECMADE-MOO,10,1000,0.000780627324726271,0.005042767710713279
ECMADE-MOO,10,1000,0.000988945305450869,0.006047500618503314
ECMADE-MOO,10,1000,0.0008348263298472686,0.005394608336442988
ECMADE-MOO,10,1000,0.0008301598922490868,0.005358553851671515
ECMADE-MOO,10,1000,0.0009446556384706596,0.0058733222399665694
ECMADE-MOO,10,1000,0.0007329097859868525,0.004610072438124105
ECMADE-MOO,10,1000,0.0007915562826520207,0.00512248813818171
ECMADE-MOO,10,1000,0.0007529559731960596,0.004837356534169481
ECMADE-MOO,10,1000,0.0009951732715039348,0.006062033359383168
ECMADE-MOO,10,1000,0.0008314766407725131,0.00537156056327823
ECMADE-MOO,10,1000,0.0007234833997375893,0.004442486454688179
ECMADE-MOO,10,1000,0.0010644348637116345,0.006187950480513068
ECMADE-MOO,10,1000,0.0009756339217226589,0.005998348128985067
ECMADE-MOO,10,1000,0.0010617129651693468,0.006168308531488962
ECMADE-MOO,10,1000,0.000836863719678006,0.005408170010139532
ECMADE-MOO,10,1000,0.0007522972248733607,0.004814687609124183
ECMADE-MOO,10,1001,0.0012009905387789295,0.006534355536552237
ECMADE-MOO,10,1001,0.0006728659341732529,0.0034104196571038583
ECMADE-MOO,10,1001,0.0011357244007294215,0.006489267105132838
ECMADE-MOO,10,1001,0.0006960634654502298,0.004284301425228985
ECMADE-MOO,10,1001,0.0006757383978084013,0.003536499840576372
ECMADE-MOO,10,1001,0.0006780489612707965,0.003616394602981321
ECMADE-MOO,10,1001,0.0007814968638861875,0.005170384405545174
ECMADE-MOO,10,1001,0.0006800464799617854,0.0037146338323664546
ECMADE-MOO,10,1001,0.0006954747505735913,0.004132017487471768
ECMADE-MOO,10,1001,0.000802813589082573,0.005283191290141389
ECMADE-MOO,10,1001,0.0007735564791854538,0.005112861408398062
ECMADE-MOO,10,1001,0.0010410241437793614,0.006320094220213055
ECMADE-MOO,10,1001,0.000712579406741367,0.004544747562441312
ECMADE-MOO,10,1001,0.0006824060332988936,0.0037849922033209495
ECMADE-MOO,10,1001,0.0010575883913473605,0.00632308239837202
ECMADE-MOO,10,1001,0.0009186232186606264,0.005870015202673403
ECMADE-MOO,10,1001,0.0007898137371430589,0.005216353886572847
ECMADE-MOO,10,1001,0.0007716208686222798,0.005058435813305164
ECMADE-MOO,10,1001,0.0007504694447255622,0.004923150453858898
ECMADE-MOO,10,1001,0.0008977668143566894,0.005781345795368731
ECMADE-MOO,10,1001,0.0007634967687317313,0.005025757524448642
ECMADE-MOO,10,1001,0.0007957872117365927,0.005239131019554874
ECMADE-MOO,10,1001,0.0006746554769925421,0.0034265712181528723
ECMADE-MOO,10,1001,0.0008764442652709318,0.005668638292473463
ECMADE-MOO,10,1001,0.0007279999791296428,0.004698184443821588
ECMADE-MOO,10,1001,0.0011042115168193002,0.006441280923296143
ECMADE-MOO,10,1001,0.0006927691850015588,0.004070434258025929
ECMADE-MOO,10,1001,0.0009545028925041064,0.006030063037249267
ECMADE-MOO,10,1001,0.0008505735014626236,0.005524732833889294
ECMADE-MOO,10,1001,0.0009671683548460065,0.006074509609269698
ECMADE-MOO,10,1001,0.0007456400074718659,0.004875009963462563
ECMADE-MOO,10,1001,0.0008636056982013856,0.005613216758043342
ECMADE-MOO,10,1001,0.0009747978207039652,0.0061154860837424755
ECMADE-MOO,10,1001,0.0011162475394238443,0.0064428072185694915
ECMADE-MOO,10,1001,0.000869287956024566,0.005652728392524973
ECMADE-MOO,10,1001,0.0007090894168572119,0.0044534529680767005
ECMADE-MOO,10,1001,0.0010966332608345496,0.006417817020363359
ECMADE-MOO,10,1001,0.0006853971478371588,0.0038401090675359564
ECMADE-MOO,10,1001,0.0009902861206868955,0.006167685768248681
ECMADE-MOO,10,1001,0.0008207214978458177,0.005374577915446343
ECMADE-MOO,10,1001,0.0008218401216769264,0.0054032251937932195
ECMADE-MOO,10,1001,0.0008291110643139574,0.005448510620602053
ECMADE-MOO,10,1001,0.0007054937153436524,0.004397226489514408
ECMADE-MOO,10,1001,0.0009611634468737066,0.006058562935111875
ECMADE-MOO,10,1001,0.0006888293786487038,0.003909288492926542
ECMADE-MOO,10,1001,0.0008384777193508721,0.005509331145409627
ECMADE-MOO,10,1001,0.0009257631069166264,0.005905700611457107
ECMADE-MOO,10,1001,0.0007254202794434957,0.004640585060241293
ECMADE-MOO,10,1001,0.0007555378483257591,0.0049630160906517515
ECMADE-MOO,10,1001,0.0010621666992598434,0.006350520355543784
ECMADE-MOO,10,1001,0.0009083891035362554,0.0058079773782433956
ECMADE-MOO,10,1001,0.0008564717723885245,0.005593225419874904
ECMADE-MOO,10,1001,0.0009962175530858913,0.006200921656178201
ECMADE-MOO,10,1001,0.00073205752221074,0.0047436673740612195
ECMADE-MOO,10,1001,0.0009485166738723376,0.005994364023591997
ECMADE-MOO,10,1001,0.0007590147355080827,0.004987239026285963
ECMADE-MOO,10,1001,0.0010298095471719853,0.006285485656328025
ECMADE-MOO,10,1001,0.0008087052270979193,0.005339422362533803
ECMADE-MOO,10,1001,0.0008109023207306902,0.00534204623498075
ECMADE-MOO,10,1001,0.0007409989952626609,0.0048432005949232285
ECMADE-MOO,10,1001,0.0007008205018166295,0.004348578766289282
ECMADE-MOO,10,1001,0.0008537033795877897,0.005557831817783842
ECMADE-MOO,10,1001,0.001125928609135033,0.006466584575915881
ECMADE-MOO,10,1001,0.0007178044848537143,0.004563028236630964
ECMADE-MOO,10,1001,0.001033408624932267,0.006302181117277788
ECMADE-MOO,10,1001,0.0008836256307253276,0.005710551510952356
ECMADE-MOO,10,1001,0.0006917537677184336,0.003988473014098793
ECMADE-MOO,10,1001,0.0010213274117354414,0.006266704328769522
ECMADE-MOO,10,1001,0.0009121834162311811,0.005832106898100428
ECMADE-MOO,10,1001,0.00107148547384217,0.0063552472412836646
ECMADE-MOO,10,1001,0.000691349759591373,0.00397977504182436
ECMADE-MOO,10,1001,0.000983896054554124,0.006145150044171838
ECMADE-MOO,10,1001,0.0006887168439657566,0.0038763506418962985
ECMADE-MOO,10,1001,0.001081658073977058,0.006383104074639627
ECMADE-MOO,10,1001,0.0010766271574873525,0.0063625438309909315
ECMADE-MOO,10,1001,0.0008929794181488403,0.005752937005895679
ECMADE-MOO,10,1001,0.001087783390769745,0.006409183536659042
ECMADE-MOO,10,1001,0.000980906691973273,0.006127886848031278
ECMADE-MOO,10,1001,0.0011235052036635774,0.006458656182471722
ECMADE-MOO,10,1001,0.0007188218704304377,0.004608788654059777
ECMADE-MOO,10,1001,0.0006947956305006021,0.004110709381896998
ECMADE-MOO,10,1001,0.0007072517315885822,0.004445957016836641
